system;query;index;selected-ir;;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;1;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;2;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;3;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;4;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;5;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;6;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;7;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;8;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;9;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;10;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;11;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;12;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;13;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;14;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;15;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;16;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;17;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;18;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;19;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;20;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;21;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;22;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;23;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;24;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;25;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;26;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;27;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;28;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;29;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;30;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;31;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;32;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;33;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;34;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;35;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;36;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;37;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;38;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;39;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;40;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;41;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;42;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;43;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;44;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;45;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;46;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;47;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;48;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;49;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;50;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;51;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;52;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;53;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;54;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;55;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;56;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;57;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;58;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;59;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;60;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;61;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;62;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;63;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;64;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;65;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;66;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;67;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;68;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;69;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;70;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;71;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;72;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;73;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;74;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;75;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;76;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;77;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;78;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;79;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;80;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;81;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;82;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;83;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;84;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;85;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;86;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;87;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;88;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;89;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;90;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;91;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;92;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;93;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;94;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;95;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;96;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;97;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;98;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;99;2147483647;index;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;1;165;index;0.0060606061;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;2;60;index;0.0166666667;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;3;3234;index;0.0003092146;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;4;314;index;0.0031847134;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;5;2600;index;0.0003846154;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;6;327;index;0.003058104;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;7;714;index;0.0014005602;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;8;850;index;0.0011764706;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;9;133;index;0.007518797;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;10;1533;index;0.0006523157;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;11;1442;index;0.0006934813;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;12;694;index;0.0014409222;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;13;112;index;0.0089285714;
