system;query;index;selected-ir;;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;51;12585;index;7.94596742153357E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;52;45;index;0.0222222222;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;53;19;index;0.0526315789;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;54;3197;index;0.0003127932;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;55;6920;index;0.0001445087;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;56;1857;index;0.000538503;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;57;4816;index;0.0002076412;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;58;4325;index;0.0002312139;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;59;9032;index;0.0001107174;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;60;3706;index;0.0002698327;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;61;18801;index;5.31886601776501E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;62;29782;index;3.35773285877376E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;63;17642;index;5.66829157691872E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;64;696;index;0.0014367816;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;65;459;index;0.0021786492;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;66;116;index;0.0086206897;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;67;5527;index;0.00018093;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;68;405;index;0.0024691358;
