system;query;lda;selected-ir;R-Rank;M-R-Rank
Eclipse;12118;243;lda;0.0041152263;
Eclipse;13069;1476;lda;0.0006775068;
Eclipse;13926;2368;lda;0.0004222973;
Eclipse;15277;2147483647;lda;4.6566128752458E-010;
Eclipse;16787;4172;lda;0.0002396932;
Eclipse;17707;893;lda;0.0011198208;
Eclipse;18761;3614;lda;0.0002767017;
Eclipse;19307;178;lda;0.0056179775;
Eclipse;19686;13035;lda;7.67165324127349E-005;
Eclipse;19691;2147483647;lda;4.6566128752458E-010;
Eclipse;19976;2203;lda;0.0004539265;
Eclipse;21062;7656;lda;0.0001306165;
Eclipse;22696;2147483647;lda;4.6566128752458E-010;
Eclipse;22809;2147483647;lda;4.6566128752458E-010;
Eclipse;23140;2147483647;lda;4.6566128752458E-010;
Eclipse;30644;2147483647;lda;4.6566128752458E-010;
Eclipse;31779;2629;lda;0.0003803728;0.0007947564
Lucene;1;2147483647;lda;4.6566128752458E-010;
Lucene;2;6476;lda;0.0001544163;
Lucene;3;2147483647;lda;4.6566128752458E-010;
Lucene;4;4603;lda;0.0002172496;
Lucene;5;2534;lda;0.000394633;
Lucene;6;4605;lda;0.0002171553;
Lucene;7;1807;lda;0.0005534034;
Lucene;8;1837;lda;0.0005443658;
Lucene;9;1347;lda;0.0007423905;
Lucene;10;6677;lda;0.0001497679;
Lucene;11;9602;lda;0.000104145;
Lucene;12;8286;lda;0.0001206855;
Lucene;13;137;lda;0.0072992701;
Lucene;14;319;lda;0.0031347962;
Lucene;15;556;lda;0.0017985612;
Lucene;16;2079;lda;0.0004810005;
Lucene;17;1213;lda;0.0008244023;
Lucene;18;2675;lda;0.0003738318;
Lucene;19;1196;lda;0.0008361204;
Lucene;20;744;lda;0.001344086;
Lucene;21;1109;lda;0.0009017133;
Lucene;24;47;lda;0.0212765957;
Lucene;25;31;lda;0.0322580645;
Lucene;26;29;lda;0.0344827586;
Lucene;27;2429;lda;0.0004116921;
Lucene;28;4091;lda;0.000244439;
Lucene;29;2404;lda;0.0004159734;
Lucene;30;809;lda;0.0012360939;
Lucene;31;515;lda;0.0019417476;
Lucene;32;885;lda;0.0011299435;
Lucene;33;16;lda;0.0625;
Lucene;34;47;lda;0.0212765957;
Lucene;35;42;lda;0.0238095238;
Lucene;36;1401;lda;0.0007137759;
Lucene;37;2976;lda;0.0003360215;
Lucene;38;1413;lda;0.0007077141;
Lucene;39;4311;lda;0.0002319647;
Lucene;40;12113;lda;8.25559316436886E-005;
Lucene;41;9383;lda;0.0001065757;
Lucene;42;87;lda;0.0114942529;
Lucene;43;96;lda;0.0104166667;
Lucene;44;87;lda;0.0114942529;
Lucene;45;655;lda;0.0015267176;
Lucene;46;65;lda;0.0153846154;
Lucene;47;573;lda;0.0017452007;
Lucene;48;490;lda;0.0020408163;
Lucene;49;244;lda;0.0040983607;
Lucene;50;801;lda;0.0012484395;
Lucene;51;206;lda;0.0048543689;
Lucene;52;2147483647;lda;4.6566128752458E-010;
Lucene;53;201;lda;0.0049751244;
Lucene;54;1563;lda;0.0006397953;
Lucene;55;587;lda;0.0017035775;
Lucene;56;605;lda;0.0016528926;
Lucene;57;964;lda;0.0010373444;
Lucene;58;992;lda;0.0010080645;
Lucene;59;582;lda;0.0017182131;
Lucene;60;2147483647;lda;4.6566128752458E-010;
Lucene;61;2147483647;lda;4.6566128752458E-010;
Lucene;62;2147483647;lda;4.6566128752458E-010;
Lucene;63;255;lda;0.0039215686;
Lucene;64;1229;lda;0.0008136697;
Lucene;65;410;lda;0.0024390244;
Lucene;66;60;lda;0.0166666667;
Lucene;67;2147483647;lda;4.6566128752458E-010;
Lucene;68;6;lda;0.1666666667;
Lucene;69;12;lda;0.0833333333;
Lucene;70;11;lda;0.0909090909;
Lucene;71;12;lda;0.0833333333;
Lucene;72;5725;lda;0.0001746725;
Lucene;73;9210;lda;0.0001085776;
Lucene;74;5721;lda;0.0001747946;
Lucene;75;90;lda;0.0111111111;
Lucene;76;105;lda;0.0095238095;
Lucene;77;213;lda;0.0046948357;
Lucene;78;130;lda;0.0076923077;
Lucene;79;130;lda;0.0076923077;
Lucene;80;161;lda;0.0062111801;
Lucene;81;2147483647;lda;4.6566128752458E-010;
Lucene;82;1443;lda;0.0006930007;
Lucene;83;2693;lda;0.0003713331;
Lucene;84;1558;lda;0.0006418485;
Lucene;85;4318;lda;0.0002315887;
Lucene;86;9537;lda;0.0001048548;
Lucene;87;7217;lda;0.0001385617;
Lucene;88;8192;lda;0.0001220703;
Lucene;89;4115;lda;0.0002430134;
Lucene;90;4584;lda;0.0002181501;
Lucene;91;2147483647;lda;4.6566128752458E-010;
Lucene;92;836;lda;0.0011961722;
Lucene;93;281;lda;0.0035587189;
Lucene;94;54;lda;0.0185185185;0.0089336687
JMeter;41788;2147483647;lda;4.6566128752458E-010;
JMeter;42538;2147483647;lda;4.6566128752458E-010;
JMeter;43294;74;lda;0.0135135135;
JMeter;46921;361;lda;0.0027700831;
JMeter;50799;2147483647;lda;4.6566128752458E-010;
JMeter;51988;3740;lda;0.0002673797;
JMeter;52003;9;lda;0.1111111111;
JMeter;52022;74;lda;0.0135135135;
JMeter;52033;2147483647;lda;4.6566128752458E-010;
JMeter;52040;2147483647;lda;4.6566128752458E-010;
JMeter;52097;7;lda;0.1428571429;
JMeter;52099;2147483647;lda;4.6566128752458E-010;
JMeter;52103;202;lda;0.004950495;
JMeter;52125;2147483647;lda;4.6566128752458E-010;
