system;query;lda;selected-ir;R-Rank;M-R-Rank
Eclipse;12118;413;lda;0.0024213075;
Eclipse;13069;3836;lda;0.0002606882;
Eclipse;13926;1819;lda;0.0005497526;
Eclipse;15277;2147483647;lda;4.6566128752458E-010;
Eclipse;16787;5592;lda;0.0001788269;
Eclipse;17707;162;lda;0.0061728395;
Eclipse;18761;3368;lda;0.0002969121;
Eclipse;19307;355;lda;0.0028169014;
Eclipse;19686;17595;lda;5.68343279340722E-005;
Eclipse;19691;2147483647;lda;4.6566128752458E-010;
Eclipse;19976;1352;lda;0.000739645;
Eclipse;21062;8187;lda;0.0001221449;
Eclipse;22696;2147483647;lda;4.6566128752458E-010;
Eclipse;22809;5953;lda;0.0001679825;
Eclipse;23140;2147483647;lda;4.6566128752458E-010;
Eclipse;30644;3518;lda;0.0002842524;
Eclipse;31779;210;lda;0.0047619048;0.0011076467
Lucene;1;2147483647;lda;4.6566128752458E-010;
Lucene;2;10051;lda;9.94925878022087E-005;
Lucene;3;2147483647;lda;4.6566128752458E-010;
Lucene;4;4303;lda;0.000232396;
Lucene;5;2234;lda;0.0004476276;
Lucene;6;4304;lda;0.000232342;
Lucene;7;1233;lda;0.00081103;
Lucene;8;1591;lda;0.0006285355;
Lucene;9;725;lda;0.0013793103;
Lucene;10;11204;lda;8.92538379150303E-005;
Lucene;11;2536;lda;0.0003943218;
Lucene;12;10262;lda;9.74468914441629E-005;
Lucene;13;372;lda;0.002688172;
Lucene;14;382;lda;0.002617801;
Lucene;15;1009;lda;0.0009910803;
Lucene;16;2268;lda;0.0004409171;
Lucene;17;1349;lda;0.0007412898;
Lucene;18;3129;lda;0.0003195909;
Lucene;19;1336;lda;0.000748503;
Lucene;20;539;lda;0.0018552876;
Lucene;21;1257;lda;0.0007955449;
Lucene;24;58;lda;0.0172413793;
Lucene;25;36;lda;0.0277777778;
Lucene;26;40;lda;0.025;
Lucene;27;2147483647;lda;4.6566128752458E-010;
Lucene;28;4805;lda;0.0002081165;
Lucene;29;2147483647;lda;4.6566128752458E-010;
Lucene;30;1146;lda;0.0008726003;
Lucene;31;533;lda;0.0018761726;
Lucene;32;662;lda;0.001510574;
Lucene;33;23;lda;0.0434782609;
Lucene;34;42;lda;0.0238095238;
Lucene;35;41;lda;0.0243902439;
Lucene;36;2946;lda;0.0003394433;
Lucene;37;5861;lda;0.0001706193;
Lucene;38;2945;lda;0.0003395586;
Lucene;39;4634;lda;0.0002157963;
Lucene;40;9059;lda;0.0001103875;
Lucene;41;8463;lda;0.0001181614;
Lucene;42;172;lda;0.0058139535;
Lucene;43;188;lda;0.0053191489;
Lucene;44;172;lda;0.0058139535;
Lucene;45;639;lda;0.0015649452;
Lucene;46;47;lda;0.0212765957;
Lucene;47;561;lda;0.0017825312;
Lucene;48;278;lda;0.0035971223;
Lucene;49;97;lda;0.0103092784;
Lucene;50;706;lda;0.0014164306;
Lucene;51;69;lda;0.0144927536;
Lucene;52;2147483647;lda;4.6566128752458E-010;
Lucene;53;65;lda;0.0153846154;
Lucene;54;2809;lda;0.0003559986;
Lucene;55;1522;lda;0.0006570302;
Lucene;56;1711;lda;0.0005844535;
Lucene;57;1229;lda;0.0008136697;
Lucene;58;1196;lda;0.0008361204;
Lucene;59;613;lda;0.0016313214;
Lucene;60;2147483647;lda;4.6566128752458E-010;
Lucene;61;2645;lda;0.0003780718;
Lucene;62;2147483647;lda;4.6566128752458E-010;
Lucene;63;1127;lda;0.0008873114;
Lucene;64;1158;lda;0.0008635579;
Lucene;65;352;lda;0.0028409091;
Lucene;66;1009;lda;0.0009910803;
Lucene;67;1782;lda;0.0005611672;
Lucene;68;425;lda;0.0023529412;
Lucene;69;13;lda;0.0769230769;
Lucene;70;13;lda;0.0769230769;
Lucene;71;15;lda;0.0666666667;
Lucene;72;2147483647;lda;4.6566128752458E-010;
Lucene;73;16030;lda;0.000062383;
Lucene;74;2147483647;lda;4.6566128752458E-010;
Lucene;75;78;lda;0.0128205128;
Lucene;76;160;lda;0.00625;
Lucene;77;1612;lda;0.0006203474;
Lucene;78;136;lda;0.0073529412;
Lucene;79;136;lda;0.0073529412;
Lucene;80;173;lda;0.0057803468;
Lucene;81;5833;lda;0.0001714384;
Lucene;82;2009;lda;0.0004977601;
Lucene;83;2109;lda;0.0004741584;
Lucene;84;2256;lda;0.0004432624;
Lucene;85;6353;lda;0.0001574059;
Lucene;86;8469;lda;0.0001180777;
Lucene;87;6441;lda;0.0001552554;
Lucene;88;7980;lda;0.0001253133;
Lucene;89;5212;lda;0.0001918649;
Lucene;90;5626;lda;0.0001777462;
Lucene;91;2147483647;lda;4.6566128752458E-010;
Lucene;92;1073;lda;0.0009319664;
Lucene;93;849;lda;0.0011778563;
Lucene;94;88;lda;0.0113636364;0.0060905604
JMeter;41788;1556;lda;0.0006426735;
JMeter;42538;2147483647;lda;4.6566128752458E-010;
JMeter;43294;390;lda;0.0025641026;
JMeter;46921;268;lda;0.0037313433;
JMeter;50799;2696;lda;0.0003709199;
JMeter;51988;4937;lda;0.0002025522;
JMeter;52003;4;lda;0.25;
JMeter;52022;33;lda;0.0303030303;
JMeter;52033;2147483647;lda;4.6566128752458E-010;
JMeter;52040;287;lda;0.0034843206;
JMeter;52097;49;lda;0.0204081633;
JMeter;52099;2147483647;lda;4.6566128752458E-010;
JMeter;52103;253;lda;0.0039525692;
JMeter;52125;2147483647;lda;4.6566128752458E-010;
JMeter;52129;146;lda;0.0068493151;0.0215005994
JEdit;1;458;lda;0.0021834061;
JEdit;2;2147483647;lda;4.6566128752458E-010;
JEdit;3;72;lda;0.0138888889;
JEdit;4;109;lda;0.0091743119;
JEdit;5;216;lda;0.0046296296;
JEdit;6;2147483647;lda;4.6566128752458E-010;
JEdit;7;2147483647;lda;4.6566128752458E-010;
JEdit;8;144;lda;0.0069444444;
JEdit;9;7;lda;0.1428571429;
JEdit;10;139;lda;0.0071942446;
JEdit;11;533;lda;0.0018761726;
JEdit;12;357;lda;0.0028011204;
JEdit;13;120;lda;0.0083333333;
JEdit;14;2147483647;lda;4.6566128752458E-010;
JEdit;15;48;lda;0.0208333333;
JEdit;16;24;lda;0.0416666667;
JEdit;17;376;lda;0.0026595745;
JEdit;18;75;lda;0.0133333333;0.0154653114
WinMerge;1;84;lda;0.0119047619;
WinMerge;2;2147483647;lda;4.6566128752458E-010;
WinMerge;3;303;lda;0.00330033;
WinMerge;4;40;lda;0.025;
WinMerge;5;300;lda;0.0033333333;
WinMerge;6;758;lda;0.0013192612;
WinMerge;7;1069;lda;0.0009354537;
WinMerge;8;153;lda;0.0065359477;
WinMerge;9;150;lda;0.0066666667;
WinMerge;10;146;lda;0.0068493151;
WinMerge;11;18;lda;0.0555555556;
WinMerge;12;2147483647;lda;4.6566128752458E-010;
WinMerge;13;585;lda;0.0017094017;
WinMerge;14;181;lda;0.0055248619;
WinMerge;15;2147483647;lda;4.6566128752458E-010;
WinMerge;16;3570;lda;0.000280112;
